Loading mesh: mug.obj
6968 1 1
6969 2 2
6976 3 3
6975 4 4
6969 2 2
6970 5 5
6977 6 6
6976 3 3
6970 5 5
6971 7 7
6978 8 8
6977 6 6
6971 7 7
6972 9 9
6979 10 10
6978 8 8
6972 9 9
6973 11 11
6980 12 12
6979 10 10
6973 11 11
6974 13 13
6981 14 14
6980 12 12
6975 4 4
6976 3 3
6983 15 15
6982 16 16
6976 3 3
6977 6 6
6984 17 17
6983 15 15
6977 6 6
6978 8 8
6985 18 18
6984 17 17
6978 8 8
6979 10 10
6986 19 19
6985 18 18
6979 10 10
6980 12 12
6987 20 20
6986 19 19
6980 12 12
6981 14 14
6988 21 21
6987 20 20
6982 16 16
6983 15 15
6990 22 22
6989 23 23
6983 15 15
6984 17 17
6991 24 24
6990 22 22
6984 17 17
6985 18 18
6992 25 25
6991 24 24
6985 18 18
6986 19 19
6993 26 26
6992 25 25
6986 19 19
6987 20 20
6994 27 27
6993 26 26
6987 20 20
6988 21 21
6995 28 28
6994 27 27
6989 23 23
6990 22 22
6997 29 29
6996 30 30
6990 22 22
6991 24 24
6998 31 31
6997 29 29
6991 24 24
6992 25 25
6999 32 32
6998 31 31
6992 25 25
6993 26 26
7000 33 33
6999 32 32
6993 26 26
6994 27 27
7001 34 34
7000 33 33
6994 27 27
6995 28 28
7002 35 35
7001 34 34
6996 30 30
6997 29 29
7004 36 36
7003 37 37
6997 29 29
6998 31 31
7005 38 38
7004 36 36
6998 31 31
6999 32 32
7006 39 39
7005 38 38
6999 32 32
7000 33 33
7007 40 40
7006 39 39
7000 33 33
7001 34 34
7008 41 41
7007 40 40
7001 34 34
7002 35 35
7009 42 42
7008 41 41
7003 37 37
7004 36 36
7011 43 43
7010 44 44
7004 36 36
7005 38 38
7012 45 45
7011 43 43
7005 38 38
7006 39 39
7013 46 46
7012 45 45
7006 39 39
7007 40 40
7014 47 47
7013 46 46
7007 40 40
7008 41 41
7015 48 48
7014 47 47
7008 41 41
7009 42 42
7016 49 49
7015 48 48
133 50 50
493 51 51
6968 1 1
4280 52 52
493 51 51
494 53 53
6969 2 2
6968 1 1
494 53 53
495 54 54
6970 5 5
6969 2 2
495 54 54
496 55 55
6971 7 7
6970 5 5
496 55 55
497 56 56
6972 9 9
6971 7 7
497 56 56
498 57 57
6973 11 11
6972 9 9
498 57 57
499 58 58
6974 13 13
6973 11 11
499 58 58
2 59 59
492 60 60
6974 13 13
6974 13 13
492 60 60
491 61 61
6981 14 14
6981 14 14
491 61 61
490 62 62
6988 21 21
6988 21 21
490 62 62
489 63 63
6995 28 28
6995 28 28
489 63 63
488 64 64
7002 35 35
7002 35 35
488 64 64
487 65 65
7009 42 42
7009 42 42
487 65 65
486 66 66
7016 49 49
7016 49 49
486 66 66
4 67 67
2082 68 68
7015 48 48
7016 49 49
2082 68 68
2083 69 69
7014 47 47
7015 48 48
2083 69 69
2084 70 70
7013 46 46
7014 47 47
2084 70 70
2085 71 71
7012 45 45
7013 46 46
2085 71 71
2086 72 72
7011 43 43
7012 45 45
2086 72 72
2087 73 73
7010 44 44
7011 43 43
2087 73 73
2088 74 74
4286 75 75
7010 44 44
2088 74 74
134 76 76
4285 77 77
7003 37 37
7010 44 44
4286 75 75
4284 78 78
6996 30 30
7003 37 37
4285 77 77
4283 79 79
6989 23 23
6996 30 30
4284 78 78
4282 80 80
6982 16 16
6989 23 23
4283 79 79
4281 81 81
6975 4 4
6982 16 16
4282 80 80
4280 52 52
6968 1 1
6975 4 4
4281 81 81
7017 82 82
7018 83 83
7025 84 84
7024 85 85
7018 83 83
7019 86 86
7026 87 87
7025 84 84
7019 86 86
7020 88 88
7027 89 89
7026 87 87
7020 88 88
7021 90 90
7028 91 91
7027 89 89
7021 90 90
7022 92 92
7029 93 93
7028 91 91
7022 92 92
7023 94 94
7030 95 95
7029 93 93
7024 85 85
7025 84 84
7032 96 96
7031 97 97
7025 84 84
7026 87 87
7033 98 98
7032 96 96
7026 87 87
7027 89 89
7034 99 99
7033 98 98
7027 89 89
7028 91 91
7035 100 100
7034 99 99
7028 91 91
7029 93 93
7036 101 101
7035 100 100
7029 93 93
7030 95 95
